id,time,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,sex_3_TEXT - Topics,yearOfBirth
13108311,2,2019-06-21 15:27:38,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,4,3,3,4,4,2,1,5,4,2,2,5,4,1,3,3,3,4,2,3,3,4,4,4,2,5,1,2,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,1,2,5,6,4,4,2,5,6,4,2,5,3,3,3,1,5,3,3,3,5,4,3,3,4,2,7,3,3,3,6,4,2,NA,1992
13109376,1,2019-05-14 07:06:53,2,1,1,2,1,1,2,1,2,2,1,1,3,4,4,3,2,2,1,3,4,5,2,5,2,4,2,4,2,2,5,2,2,5,4,5,1,5,4,5,1,5,1,4,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,6,0,3,5,5,2,4,5,6,4,5,2,6,6,3,3,3,6,1,7,1,2,2,2,2,6,2,5,6,6,4,6,4,2,NA,1992
13109376,2,2019-05-24 09:26:19,1,1,1,3,1,1,2,1,1,1,1,1,5,2,3,4,2,2,2,3,5,4,4,5,2,5,2,5,2,1,5,3,2,5,3,5,2,5,4,5,2,5,2,4,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,6,0,3,5,5,2,4,5,6,4,5,2,6,6,3,3,3,6,1,7,1,2,2,2,2,6,2,5,6,6,4,6,4,2,NA,1992
13111752,1,2019-06-12 09:22:35,1,1,2,1,1,1,1,1,1,3,1,1,4,1,1,5,4,5,5,2,4,2,1,5,1,1,4,5,4,1,4,5,4,2,4,4,4,5,3,4,1,5,1,5,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,0,2,5,5,2,7,7,7,7,6,2,6,5,5,1,1,6,2,2,3,5,4,3,2,3,2,6,3,7,4,7,4,3,NA,1993
13111752,2,2019-06-25 08:42:20,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,4,5,5,4,4,4,1,5,1,1,2,5,4,1,3,4,4,2,2,5,4,5,4,4,1,5,1,4,1,2,4,4,2,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,26,5,0,2,5,5,2,7,7,7,7,6,2,6,5,5,1,1,6,2,2,3,5,4,3,2,3,2,6,3,7,4,7,4,3,NA,1993
13112792,1,2019-06-10 12:21:58,2,2,2,2,3,2,3,1,2,2,2,2,2,1,2,1,3,3,1,2,2,4,3,4,3,4,2,2,2,2,3,2,3,2,4,2,3,4,4,4,2,4,3,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,0,3,4,7,3,4,3,2,3,3,4,5,3,3,5,6,5,5,6,2,4,3,4,3,6,2,6,6,6,5,6,4,1,NA,1992
13112792,2,2019-07-01 14:52:44,3,3,3,2,2,2,2,1,2,2,3,1,3,1,2,1,3,2,3,3,2,4,2,3,4,4,2,2,2,2,3,3,3,2,3,4,3,4,4,4,2,5,2,4,2,3,2,4,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,2,27,5,0,3,4,7,3,4,3,2,3,3,4,5,3,3,5,6,5,5,6,2,4,3,4,3,6,2,6,6,6,5,6,4,1,NA,1992
13115704,1,2019-05-25 12:31:17,2,1,1,1,2,1,2,1,1,2,2,1,4,1,1,4,4,4,3,4,4,2,2,5,2,2,4,5,3,1,3,2,2,5,2,4,2,5,1,5,1,4,1,4,1,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,0,2,5,5,3,3,6,6,6,5,5,6,2,4,3,2,6,2,5,2,3,4,1,2,6,2,6,5,5,5,7,5,2,NA,1993
13115704,2,2019-06-07 14:59:10,1,2,2,1,2,1,1,1,1,2,1,1,4,1,2,4,4,4,3,4,4,2,2,5,2,2,3,5,3,1,4,3,3,4,2,4,2,5,4,4,1,4,1,4,2,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,0,2,5,5,3,3,6,6,6,5,5,6,2,4,3,2,6,2,5,2,3,4,1,2,6,2,6,5,5,5,7,5,2,NA,1993
13123625,1,2019-05-17 15:59:42,1,1,1,1,2,1,1,1,1,2,1,1,3,1,2,4,4,3,5,4,4,5,3,5,2,2,2,5,5,1,5,4,4,5,2,5,2,5,4,4,1,5,1,4,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,1,3,6,4,2,6,4,5,4,1,5,5,3,4,5,1,7,1,7,1,1,1,1,1,7,2,7,6,7,5,7,4,3,NA,1993
13123625,2,2019-07-01 08:44:39,2,1,1,1,2,1,1,1,1,1,1,1,4,1,1,4,4,4,5,4,5,1,2,5,1,1,4,5,5,1,5,4,4,5,4,5,2,5,5,4,1,5,1,3,1,5,1,4,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,26,5,1,3,6,4,2,6,4,5,4,1,5,5,3,4,5,1,7,1,7,1,1,1,1,1,7,2,7,6,7,5,7,4,3,NA,1993
13279500,1,2019-06-09 16:49:25,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,5,4,5,5,4,2,1,5,2,1,1,5,5,1,5,4,4,5,1,5,2,5,4,5,2,5,1,3,1,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,0,2,5,6,3,4,5,6,2,2,1,6,4,4,4,1,6,1,1,3,4,5,1,1,7,3,5,5,7,5,6,4,1,NA,1989
13279500,2,2019-06-14 09:25:58,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,5,5,5,5,5,5,5,1,5,4,4,1,5,5,1,5,5,5,5,1,4,2,5,4,5,1,1,1,4,1,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,6,0,2,5,6,3,4,5,6,2,2,1,6,4,4,4,1,6,1,1,3,4,5,1,1,7,3,5,5,7,5,6,4,1,NA,1989
13719067,1,2019-07-09 14:45:05,1,1,1,1,1,1,2,1,1,1,1,1,4,1,4,4,4,1,5,4,5,4,4,5,1,2,3,5,4,2,5,1,5,4,4,3,5,5,5,1,1,5,1,3,1,4,5,5,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,25,5,1,1,6,5,1,1,6,6,4,7,1,7,2,5,5,6,7,1,7,1,1,1,1,1,7,2,7,7,7,7,7,2,1,NA,1994
13719067,2,2019-07-19 08:48:22,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,5,4,1,5,4,5,4,4,5,1,2,3,5,4,1,5,1,5,4,4,4,5,5,4,3,1,5,1,2,1,4,4,5,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,25,5,1,1,6,5,1,1,6,6,4,7,1,7,2,5,5,6,7,1,7,1,1,1,1,1,7,2,7,7,7,7,7,2,1,NA,1994
14113971,1,2019-06-12 19:07:18,2,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,5,2,4,4,4,2,5,2,4,2,4,3,1,3,5,3,5,3,5,1,3,5,5,2,5,3,5,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,1,2,5,6,2,3,6,6,6,6,2,5,2,6,5,6,7,1,7,1,2,6,1,1,1,1,7,7,6,6,7,4,1,NA,1993
14113971,2,2019-06-25 14:42:22,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,4,4,4,5,5,4,1,4,1,1,2,4,4,1,3,5,3,5,2,4,1,5,5,5,1,4,1,5,1,5,1,5,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,2,2,26,5,1,2,5,6,2,3,6,6,6,6,2,5,2,6,5,6,7,1,7,1,2,6,1,1,1,1,7,7,6,6,7,4,1,NA,1993
14118467,1,2019-06-26 09:17:03,4,1,1,1,2,1,2,1,1,2,1,1,4,2,2,4,4,5,3,4,4,1,2,4,1,2,2,5,3,1,2,4,3,4,4,4,4,4,4,4,2,5,1,2,2,4,3,4,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,28,5,0,3,6,1,1,3,6,6,3,6,3,5,5,5,3,1,6,2,6,1,2,1,2,2,5,2,7,6,6,6,7,4,3,NA,1991
14118467,2,2019-07-01 18:04:10,2,1,1,1,1,1,1,1,1,4,1,1,5,2,4,4,4,5,4,4,4,1,2,4,1,2,2,5,4,1,1,3,3,4,4,4,4,4,2,4,1,5,1,1,2,4,4,4,2,2,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,28,5,0,3,6,1,1,3,6,6,3,6,3,5,5,5,3,1,6,2,6,1,2,1,2,2,5,2,7,6,6,6,7,4,3,NA,1991
14120430,1,2019-06-20 09:58:31,1,2,2,2,2,1,1,1,1,3,2,1,5,1,2,3,4,3,2,3,3,2,1,4,2,2,1,2,2,1,4,2,2,4,4,4,4,5,4,5,1,5,1,2,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,1,3,5,5,2,4,5,5,5,1,7,6,5,3,3,2,6,6,6,3,6,3,1,5,3,2,6,6,3,4,6,4,1,NA,1995
14120430,2,2019-06-25 13:20:59,1,2,1,4,2,2,2,1,1,3,1,1,5,1,2,4,4,3,2,4,4,2,1,4,2,2,1,5,3,1,4,3,3,4,2,3,2,5,2,5,1,5,1,4,1,4,2,4,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,24,5,1,3,5,5,2,4,5,5,5,1,7,6,5,3,3,2,6,6,6,3,6,3,1,5,3,2,6,6,3,4,6,4,1,NA,1995
14127948,1,2019-06-12 18:15:47,1,2,2,2,3,2,2,1,1,2,2,1,2,3,1,3,4,2,3,4,3,3,2,3,2,2,3,4,3,1,4,2,2,4,4,4,3,4,3,4,2,4,2,3,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,5,1,4,6,4,2,6,5,6,4,6,2,6,3,4,3,6,6,3,4,3,5,2,2,5,4,2,7,3,5,5,6,4,3,NA,1995
14127948,2,2019-06-26 13:56:03,1,1,2,2,3,2,2,2,1,3,4,1,2,2,2,3,4,2,3,4,3,3,2,4,3,2,1,3,4,1,4,4,2,5,4,4,3,4,2,5,2,5,1,3,2,3,2,4,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,2,24,5,1,4,6,4,2,6,5,6,4,6,2,6,3,4,3,6,6,3,4,3,5,2,2,5,4,2,7,3,5,5,6,4,3,NA,1995
14131965,1,2019-05-13 16:26:59,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,4,4,1,4,5,2,2,3,1,3,1,5,3,1,4,5,1,5,1,4,3,5,2,5,1,5,1,2,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,4,1,2,5,5,2,3,5,6,6,4,2,6,2,6,5,4,7,1,5,2,2,3,2,2,3,2,7,7,7,6,7,3,3,NA,1996
14131965,2,2019-05-21 14:10:41,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,5,4,1,4,5,1,1,5,1,1,1,5,3,1,4,5,3,5,1,5,3,5,2,5,1,4,1,2,1,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,4,1,2,5,5,2,3,5,6,6,4,2,6,2,6,5,4,7,1,5,2,2,3,2,2,3,2,7,7,7,6,7,3,3,NA,1996
14132336,1,2019-07-03 12:35:47,4,2,2,2,2,3,2,1,1,4,2,2,4,4,1,5,4,2,4,4,4,2,2,4,2,2,2,4,4,1,2,5,2,4,1,4,2,4,4,4,2,5,1,2,2,3,3,4,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,25,4,1,3,5,5,2,3,5,5,3,7,2,5,5,2,4,1,6,3,6,2,3,5,3,2,5,1,6,5,5,5,6,4,2,NA,1994
14132336,2,2019-07-12 14:19:58,3,2,2,2,2,2,3,1,2,4,3,2,4,4,2,4,4,2,3,3,5,1,2,4,2,2,3,4,4,2,3,4,4,4,2,3,2,4,4,4,2,5,2,4,1,3,2,4,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,25,4,1,3,5,5,2,3,5,5,3,7,2,5,5,2,4,1,6,3,6,2,3,5,3,2,5,1,6,5,5,5,6,4,2,NA,1994
