time,value,Date
10:01:45,53,10.05.19
10:01:50,54,10.05.19
10:01:55,55,10.05.19
10:02:00,54,10.05.19
10:02:05,55,10.05.19
10:02:10,54,10.05.19
10:02:15,55,10.05.19
10:02:20,56,10.05.19
10:02:25,58,10.05.19
10:02:30,60,10.05.19
10:02:36,61,10.05.19
10:02:41,67,10.05.19
10:02:46,67,10.05.19
10:02:56,66,10.05.19
10:03:01,66,10.05.19
10:03:06,66,10.05.19
10:03:16,66,10.05.19
10:03:26,65,10.05.19
10:03:31,63,10.05.19
10:03:36,60,10.05.19
10:03:41,62,10.05.19
10:03:46,65,10.05.19
10:03:51,66,10.05.19
10:03:56,65,10.05.19
10:04:01,67,10.05.19
10:04:06,67,10.05.19
10:04:11,62,10.05.19
10:04:26,69,10.05.19
10:04:31,74,10.05.19
10:04:41,74,10.05.19
10:04:51,75,10.05.19
10:05:06,75,10.05.19
10:05:21,75,10.05.19
10:05:36,75,10.05.19
10:05:51,75,10.05.19
10:05:56,75,10.05.19
10:06:06,75,10.05.19
10:06:13,75,10.05.19
10:06:28,75,10.05.19
10:06:43,75,10.05.19
10:06:53,75,10.05.19
10:07:08,76,10.05.19
10:07:23,76,10.05.19
10:07:28,77,10.05.19
10:07:33,82,10.05.19
10:07:38,84,10.05.19
10:07:43,87,10.05.19
10:07:48,88,10.05.19
10:07:53,86,10.05.19
10:08:08,87,10.05.19
10:08:13,90,10.05.19
10:08:18,92,10.05.19
10:08:28,93,10.05.19
10:08:33,94,10.05.19
10:08:38,96,10.05.19
10:08:43,97,10.05.19
10:08:48,99,10.05.19
10:08:58,102,10.05.19
10:09:03,106,10.05.19
10:09:18,106,10.05.19
10:09:33,106,10.05.19
10:09:38,104,10.05.19
10:09:48,106,10.05.19
10:10:03,106,10.05.19
10:10:05,106,10.05.19
10:10:15,109,10.05.19
10:10:25,111,10.05.19
10:10:30,113,10.05.19
10:10:45,113,10.05.19
10:11:00,113,10.05.19
10:11:15,113,10.05.19
10:11:30,113,10.05.19
10:11:40,113,10.05.19
10:11:55,113,10.05.19
10:12:10,113,10.05.19
10:12:25,113,10.05.19
10:12:40,113,10.05.19
10:12:55,113,10.05.19
10:13:10,113,10.05.19
10:13:25,113,10.05.19
10:13:40,113,10.05.19
10:13:55,113,10.05.19
10:14:10,113,10.05.19
10:14:25,113,10.05.19
10:14:40,113,10.05.19
10:14:55,113,10.05.19
10:15:10,113,10.05.19
10:15:25,113,10.05.19
10:15:40,113,10.05.19
10:15:55,113,10.05.19
10:16:10,113,10.05.19
10:16:13,113,10.05.19
10:16:28,113,10.05.19
10:16:43,113,10.05.19
10:16:58,113,10.05.19
10:17:13,113,10.05.19
10:17:28,113,10.05.19
10:17:43,113,10.05.19
10:17:58,113,10.05.19
10:18:13,113,10.05.19
10:18:28,113,10.05.19
10:18:43,113,10.05.19
10:18:58,113,10.05.19
10:19:13,113,10.05.19
10:19:28,113,10.05.19
10:19:33,114,10.05.19
10:19:38,114,10.05.19
10:19:53,114,10.05.19
10:20:08,114,10.05.19
10:20:23,114,10.05.19
10:20:38,114,10.05.19
10:20:53,114,10.05.19
10:21:08,114,10.05.19
10:21:13,113,10.05.19
