"time","value","Date"
"15:13:03","100","2019-06-03"
"15:13:13","105","2019-06-03"
"15:13:18","112","2019-06-03"
"15:13:33","112","2019-06-03"
"15:13:38","110","2019-06-03"
"15:13:53","102","2019-06-03"
"15:13:58","104","2019-06-03"
"15:14:03","103","2019-06-03"
"15:14:13","104","2019-06-03"
"15:14:18","105","2019-06-03"
"15:14:33","106","2019-06-03"
"15:14:38","105","2019-06-03"
"15:14:43","103","2019-06-03"
"15:14:58","107","2019-06-03"
"15:15:08","106","2019-06-03"
"15:15:13","104","2019-06-03"
"15:15:18","108","2019-06-03"
"15:15:25","114","2019-06-03"
"15:15:30","121","2019-06-03"
"15:15:35","128","2019-06-03"
"15:15:40","136","2019-06-03"
"15:15:45","137","2019-06-03"
"15:15:50","139","2019-06-03"
"15:15:55","136","2019-06-03"
"15:16:00","133","2019-06-03"
"15:16:05","132","2019-06-03"
"15:16:15","131","2019-06-03"
"15:16:20","127","2019-06-03"
"15:16:25","123","2019-06-03"
"15:16:30","125","2019-06-03"
"15:16:40","119","2019-06-03"
"15:16:45","116","2019-06-03"
"15:16:50","115","2019-06-03"
"15:16:55","113","2019-06-03"
"15:17:00","112","2019-06-03"
"15:17:05","113","2019-06-03"
"15:17:10","114","2019-06-03"
"15:17:20","113","2019-06-03"
"15:17:25","110","2019-06-03"
"15:17:30","105","2019-06-03"
"15:17:35","103","2019-06-03"
"15:17:50","103","2019-06-03"
"15:18:00","104","2019-06-03"
"15:18:07","105","2019-06-03"
"15:18:17","107","2019-06-03"
"15:18:22","106","2019-06-03"
"15:18:27","107","2019-06-03"
"15:18:37","106","2019-06-03"
"15:18:42","103","2019-06-03"
"15:18:52","101","2019-06-03"
"15:19:07","102","2019-06-03"
"15:19:22","103","2019-06-03"
"15:19:37","103","2019-06-03"
"15:19:47","104","2019-06-03"
"15:20:02","104","2019-06-03"
"15:20:12","103","2019-06-03"
"15:20:22","95","2019-06-03"
"15:20:27","93","2019-06-03"
"15:20:32","92","2019-06-03"
"15:20:42","91","2019-06-03"
"15:20:52","89","2019-06-03"
"15:20:57","86","2019-06-03"
"15:21:02","66","2019-06-03"
"15:21:07","64","2019-06-03"
"15:21:22","64","2019-06-03"
"15:21:32","64","2019-06-03"
"15:21:42","65","2019-06-03"
"15:21:47","64","2019-06-03"
